SIGLA,DISCIPLINA,RECOMENDAÇÃO
MCTB001-17,Álgebra Linear,Geometria Analítica
MCCC001-23,Algoritmos e Estruturas de Dados I,Programação Estruturada; Processamento da Informação
MCCC002-23,Algoritmos e Estruturas de Dados II,Algoritmos e Estruturas de Dados I; Programação Estruturada; Processamento da Informação
MCCC003-23,Algoritmos em Grafos,Natureza da Informação; Funções de Uma Variável; Algoritmos e Estruturas de Dados I; Algoritmos e Estruturas de Dados II; Programação Estruturada; Matemática Discreta I; Matemática Discreta II
MCZA035-17,Algoritmos Probabilísticos,Algoritmos e Estruturas de Dados II; Introdução à Probabilidade e à Estatística
MCCC004-23,Análise de Algoritmos I,Matemática Discreta II; Matemática Discreta I; Algoritmos em Grafos; Algoritmos e Estruturas de Dados I; Algoritmos e Estruturas de Dados II; Programação Estruturada; Processamento da Informação; Funções de Uma Variável
MCCC005-23,Análise de Algoritmos II,Análise de Algoritmos I; Algoritmos em Grafos; Matemática Discreta I; Matemática Discreta II; Algoritmos e Estruturas de Dados I; Algoritmos e Estruturas de Dados II; Programação Estruturada; Processamento da Informação; Funções de Uma Variável
MCZA001-13,Análise de Projetos,Não há
MCZA002-17,Aprendizado de Máquina,Funções de Várias Variáveis; Introdução à Probabilidade e à Estatística; Álgebra Linear; Algoritmos; Estruturas de Dados I; Programação Estruturada; Processamento da Informação; Matemática Discreta
MCTA004-17,Arquitetura de Computadores,Sistemas Digitais; Circuitos Digitais; Natureza da Informação; Fenômenos Eletromagnéticos; Algoritmos e Estruturas de Dados I; Programação Estruturada; Processamento da Informação
MCZA003-17,Arquitetura de Computadores de Alto Desempenho,Arquitetura de Computadores
MCZA004-13,Avaliação de Desempenho de Redes,Redes de Computadores
MCZA005-17,Banco de Dados de Apoio à Tomada de Decisão,Banco de Dados; Inteligência Artificial
BCS0001-25,Base Experimental das Ciências Naturais,Não há
BIS0005-15,Bases Computacionais da Ciência,Não há
BIR0004-15,Bases Epistemológicas da Ciência Moderna,Não há
BIS0003-15,Bases Matemáticas,Não há
BCL0306-15,Biodiversidade: Interações entre organismos e ambiente,Não há
BCL0308-15,"Bioquímica: estrutura, propriedade e funções de biomoléculas",Estrutura da Matéria; Transformações Químicas
MCTB009-17,Cálculo Numérico,Funções de Uma Variável; Processamento da Informação
BIR0603-15,"Ciência, Tecnologia e Sociedade",Não há
MCTA006-17,Circuitos Digitais,Natureza da Informação; Fenômenos Eletromagnéticos
MCZA037-17,Combinatória Extremal,Matemática Discreta
